,gray,other,PSNR,mse,ssim
0,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_1.png,44.31175411051988,2.4093780517578125,0.9931163426788187
1,IVUS Project/Grayscale Images/anonymus 00001_Frame_13.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_13.png,44.05806783602535,2.554309844970703,0.9930658100623232
2,IVUS Project/Grayscale Images/anonymus 00001_Frame_14.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_14.png,44.02655713816409,2.5729103088378906,0.9930696159234618
3,IVUS Project/Grayscale Images/anonymus 00001_Frame_15.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_15.png,43.969402244593745,2.60699462890625,0.9930055531467964
4,IVUS Project/Grayscale Images/anonymus 00001_Frame_18.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_18.png,44.19115354981332,2.477222442626953,0.9934247944818423
5,IVUS Project/Grayscale Images/anonymus 00001_Frame_19.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_19.png,44.463502564129016,2.3266448974609375,0.993849930708536
6,IVUS Project/Grayscale Images/anonymus 00001_Frame_2.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_2.png,44.14646273480231,2.5028457641601562,0.9930201267067723
7,IVUS Project/Grayscale Images/anonymus 00001_Frame_4.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_4.png,43.84416683996839,2.6832656860351562,0.9925746338869758
8,IVUS Project/Grayscale Images/anonymus 00001_Frame_8.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_8.png,44.10863990549862,2.524738311767578,0.9925781813462461
9,IVUS Project/Grayscale Images/anonymus 00001_Frame_9.png,IVUS Project/Anisotropic Filter Images/anonymus 00001_Frame_9.png,44.00380980773796,2.5864219665527344,0.9926992141624668
10,IVUS Project/Grayscale Images/anonymus 00001_Frame_1.png,IVUS Project/Bilateral Filter Images/anonymus 00001_Frame_1.png,30.964674920997204,52.07303237915039,0.4213462725842316
